CÓDIGO DE GRUPO,NOMBRE DEL GRUPO,LÍDER DEL GRUPO,INSTITUCIONES QUE LO AVALAN,GRUPO RECONOCIDO,GRUPO INSCRITO PARA MEDICIÓN,CLASIFICACIÓN DEL GRUPO
COL0067371,INSIGHT,JAVIER OSWALDO RODRÍGUEZ VELÁSQUEZ,ADMINISTRADORA COUNTRY S.A- CENTRO DE IN- VESTIGACIONES ; UNIVERSIDAD UNICAUCA NUEVA GRANADA - UNIUNICAUCA; INSIGHT RESEARCH GROUP SAS,,Sí,C
COL0165935,"GRUPO DE INVESTIGACION E INNOVACIÓN EN ENER-
GÍA AES CHIVOR",NHORA CECILIA PA- RRA RODRIGUEZ,AES CHIVOR & CIA SCA ESP,,Sí,B
COL0110982,INSTITUTO ALPINA,BERNADETTE KLOTZ CEBERIO,ALPINA PRODUC- TOS ALIMENTI- CIOS S.A.,,Sí,A
COL0120245,GESTIÓN HOSPITALARIA Y POLÍTICAS DE SALUD,JULIO OROZCO AFRICANO,ALZAK FOUNDA- TION; CORPORA- CIÓN UNIVERSI- DAD DE LA COSTA CUC,,Sí,B
COL0033023,CENTRO DE INVESTIGA- CIÓN Y DESARROLLO AN- DERCOL,DANIEL HUMBERTO BUILES MARTÍNEZ,ANHIDRIDOS Y DERIVADOS DE COLOMBIA S.A - ANDERCOL,,Sí,C
COL0087042,ARKEBIOS,"MARTHA ROCÍO VE-
LASCO RODRÍGUEZ",ARKEBIOS SAS,,Sí,Reconocido
COL0040519,TECNALIA COLOMBIA,ENRIQUE EDGAR LEON VILLEDA,ASOCIACIÓN ALIANZA SINERTIC; TECNALIA COLOMBIA,,Sí,C
COL0137009,CENIPORCINO,DIANA CORINA ZAM- BRANO MORENO,ASOCIACIÓN COLOMBIANA DE PORCICULTORES,,Sí,B
COL0160634,IDIMEC INICIATIVA PARA EL DESARROLLO Y LA INVES- TIGACIÓN EN MEDICINA DE EMERGENCIAS EN COLOM- BIA,NORBERTO NAVA- RRETE ALDANA,ASOCIACION COLOMBIANA DE ESPECIALISTAS EN MEDICINA DE URGENCIAS Y EMERGENCIAS; FUNDACION CARDIOINFANTIL-INSTITUTO CARDIOLOGIA,,Sí,C
COL0160044,MICRO Y NANOANÁLISIS,MAGNOLIA HE- RRERA MARCHENA,ASOCIACIÓN COLOMBIANA DE MICROSCOPÍA; CENTRO DE MICROSCOPÍA Y MICRO- ANÁLISIS; CENTRO INTERNACIONAL DE FÍSICA - CIF,,Sí,C
COL0187692,"POLÍTICA, GESTIÓN Y APROPIACIÓN SOCIAL DE CTEI",MARIA PIEDAD VI- LLAVECES NIÑO,ASOCIACIÓN COLOMBIANA PARA EL AVANCE DE LA CIENCIA - ACAC,,Sí,C
COL0105543,"CENTRO DE ESTUDIOS AM-
BIENTALES  DE LA ORINO- QUIA  CEAO","VICTORIA ANDREA
BARRERA ZAM- BRANO",ASOCIACIÓN DE BECARIOS DE CA- SANARE,,Sí,Reconocido
COL0129198,"CENTRO DE INVESTIGA-
CIONES  EPIDEMIOLOGI- CAS DE COLOMBIA",FRED MANRIQUE ABRIL,ASOCIACION DE GRADUADOS DE ENFERMERIA,,Sí,B
COL0000318,CENTRO DE INVESTIGACIONES DEL BANANO - CE- NIBANANO,JAIVER DANILO SÁNCHEZ TORRES,ASOCIACION DE BANANEROS DE COLOMBIA (AU- GURA),,Sí,C
COL0006115,GRUPO DE INVESTIGACION EN SALUD PUBLICA GISP,FRED MANRIQUE ABRIL,ASOCIACION DE GRADUADOS DE ENFERMERIA,,Sí,B
COL0178129,ENFERMERIA Y APS,LINA FERNANDA BA- RRERA SÁNCHEZ,ASOCIACION DE GRADUADOS DE ENFERMERIA,,No,Reconocido
COL0102962,"RG MICROBIAL ECOLOGY: METABOLISM, GENOMICS & EVOLUTION - DIVERSITY, ECOGENOMICS & HOLO- BIONTS - MICROBIOMAS
FOUNDATION",HOWARD JUNCA DÍAZ,ASOCIACION FUN- DACION DE INVES- TIGACION MICRO- BIOMAS; COMPA- ÑÍA CAMPO CO- LOMBIA SAS,,Sí,A
COL0094566,ESTUDIO Y CONSERVA- CIÓN DE LAS ESPECIES Y SUS HÁBITATS EN RIESGO,KAROLINA FIERRO CALDERÓN,ASOCIACIÓN PARA EL ESTUDIO Y LA CONSERVACIÓN DE LAS AVES ACUÁTICAS EN COLOMBIA CALI- DRIS,,Sí,Reconocido
COL0187988,BALDER GROUP,"JOSE DANIEL CHA-
RRY CUELLAR",BALDER SAS,,Sí,C
COL0050982,CÉLULAS STEM ADULTAS,LUZ MABEL AVILA PORTILLO,BANCO DE CÉLULAS STEM DE COLOMBIA; HOSPITAL MILITAR CENTRAL; UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,C
COL0188297,GRUPO DE INVESTIGACIÓN PARA EL CRECIMIENTO EMPRESARIAL,CLAUDIA DA CUNHA TCACHMAN,BANCO DE CO- MERCIO EXTE- RIOR DE COLOM- BIA,,Sí,Reconocido
COL0171173,COCREALAB,JAVIER TORRES,BEYOND IDEATION GROUP SAS,,Sí,Reconocido
COL0166997,BIOMAB,PEDRO IVÁN SAN- TOS MORENO,BIOMAB IPS CEN- TRO DE ATENCIÓN INTEGRAL EN AR- TRITIS REUMA- TOIDE,,Sí,C
COL0177014,"GRUPO DE INVESTIGACION
EN MEDIO AMBIENTE Y DESARROLLO GIMAD",RICARDO ALBERTO MANRIQUE ABRIL,BIOMINERALES- COL.SAS,,Sí,Reconocido
COL0147857,"GRUPO DE INVESTIGACION EN SALUD PUBLICA ""GISAP""",MARIA ORLINDA URREA MARRO- QUIN,C.C.A. CORPORA- CIÓN PARA LA COOPERACIÓN ASOCIADA,,No,Reconocido
COL0148166,"GRUPO DE DESARROLLO TECNOLÓGICO AGROINDUSTRIAL HORTOFRUTI- COLA DEL HUILA  GDTA-
HUILA",FERNANDO FLOREZ ARISTIZABAL,C.C.A. CORPORA- CIÓN PARA LA COOPERACIÓN ASOCIADA,,No,Reconocido
COL0134474,SALUD COMFAMILIAR,GLORIA LILIANA PO- RRAS HURTADO,CAJA DE COMPEN- SACION FAMILIAR DE RISARALDA; INSTITUCIÓN UNIVERSITARIA COMFAMILIAR RI- SARALDA,,No,Reconocido
COL0144274,I+D+T,VIVIANA VIRGEN ORTIZ,CAJA DE COMPEN- SACION FAMILIAR DE RISARALDA; INSTITUCIÓN UNIVERSITARIA COMFAMILIAR RI- SARALDA,,Sí,Reconocido
COL0074689,GRUPO DE EVALUACIÓN DE SERVICIOS DE SALUD - COMFANDI,CARLOS AUGUSTO HERNANDEZ AVILA,CAJA DE COMPEN- SACIÓN FAMILIAR DEL VALLE DEL CAUCA - COMFA- MILIAR ANDI- COMFANDI,,No,Reconocido
COL0187389,"GICS - GRUPO DE INVESTI- GACIÓN DE CALIBRATION
SERVICE SAS",ALEJANDRO RO- BLES HERNÁNDEZ,CALIBRATION SERVICE SAS,,Sí,Reconocido
COL0072836,"CENTRO DE ESTUDIOS
PARA EL DESARROLLO Y LA COMPETIVIDAD CEDEC",LUIS LÓPEZ PINEDA,CÁMARA DE CO- MERCIO DE CAR- TAGENA,,Sí,C
COL0187781,"OBSERVATORIO SOCIO
ECONÓMICO CCVALLEDU- PAR",MONICA PATRICIA GOMEZ SANTOS,CÁMARA DE CO- MERCIO DE VA- LLEDUPAR,,Sí,Reconocido
COL0169068,ORIGEN,"CAMILO CASTILLO
PINILLA",CASTILLO ORGA- NIZACIÓN,,No,Reconocido
