code,name,clasification
COL0009752,Grupo de Investigación en Farmacogenética,B
COL0000283,Administración Económica y Financiera,B
COL0021523,Estudios del Lenguaje y la Educación,A
COL0000719,BIODIVERSIDAD Y BIOTECNOLOGÍA,A
COL0004264,Electrofisiología,B
COL0004907,Filosofía Posmetafísica,A
COL0006919,Gestión de Calidad y Normalización Técnica,D
COL0006948,Gestión en Agroecosistemas Tropicales Andinos,B
COL0020393,Gestión en Cultura y Educación Ambiental,B
COL0035289,TECNOLOGÍA MECÁNICA,B
COL0055361,Grupo de Investigación en Telecomunicaciones NYQUIST,D
COL0032581,Grupo de Investigación en Gestión Energética (GENERGÉTICA),C
COL0023116,Grupo Polifenoles,C
COL0014707,Planeamiento en Sistemas Eléctricos,A1
COL0025925,Laboratorio de investigación en desarrollo eléctrico y electrónico - LIDER,C
COL0172223,Poliglosia-Grupo de investigación en lingüística aplicada a la enseñanza de las lenguas ,
COL0164778,Grupo de Investigación Biomolecular y Pecuaria (BIOPEC),
COL0140168,"Grupo de Investigacion en reanimacion,urgencias y simulacion",
COL0006302,GRUPO DE INVESTIGACIONES ESTADISTICAS Y EPIDEMIOLOGICAS (GIEE),C
COL0038039,Estudios Metodológicos para la Enseñanza de la Matemática y el uso de las Nuevas Tecnologías de la Información y la Comunicación,
COL0173481,GRUPO  INVESTIGACIÓN  ENFERMEDADES INFECCIOSAS GRIENI,
COL0147392,Crítica y Creación,
COL0118505,Cultura visual,
COL0102111,MECABOT,
COL0083535,Filosofía y Escepticismo,
COL0025246,Gravitación y Teorías Unificadas,
COL0113302,GRUPO DE INVESTIGACIÓN EN MEDICINA INTERNA,D
COL0077242,FILOSOFIA Y MEMORIA,C
COL0055709,GEDNOL,C
COL0053643,Investigación en Conceptos Emergentes de Energía Eléctrica - ICE3,A
COL0025649,Grupo de Fisiología Celular y Aplicada,B
COL0055405,GIMAV - UTP (Grupo de Investigación en Materiales Avanzados),C
COL0021809,ESTUDIO Y APLICACIÓN DE HERRAMIENTAS ESTADISTICAS MODERNAS EN LA SOLUCIÓN DE PROBLEMAS DEL ENTORNO,C
COL0008094,GEIO Grupo en la Enseñanza de la Investigación de Operaciones,C
COL0028219,Arte y Cultura,B
COL0026029,"Plasma, Láser y Aplicaciones",C
COL0154127,TransFórmate,B
COL0113572,Grupo de Investigación en Pensamiento Matemático y Comunicación,D
COL0111451,Producción Pecuaria Sostenible ,D
COL0006886,Gestión Ambiental Territorial -GAT-,A
COL0002859,Automática,A1
COL0026609,Grupo de Investigación en Astroingeniería Alfa Orión,B
COL0067012,ROBÓTICA APLICADA,B
COL0017379,OLEOQUIMICA,C
COL0020357,Investigación y Desarrollo en Cultura de la Salud ,B
COL0031477,CONTROL AUTOMÁTICO,B
COL0025783,"POLÍTICAS, SOCIABILIDADES Y REPRESENTACIONES HISTÓRICO-EDUCATIVAS",A
COL0027008,Diseño y construccion de prototipos para experimentos de demostracion,C
COL0019777,Grupo de Estudio del Recurso Hidrico,C
COL0003383,Desarrollo Humano y Organizacional,B
COL0084569,GAOPE,A1
COL0021597,BASICO-CLINICA Y APLICADAS,C
COL0001638,COMUNICACION EDUCATIVA,B
COL0145289,CONFORMAT,D
COL0033542,Materiales de Ingeniería (GIMI),C
COL0156444,Química de Coordinación y organometálica en Materiales Moleculares y Sistemas Biológicos. (QCOMMMB).,C
COL0079917,"Ecología, Ingeniería y Sociedad",B
COL0024249,Grupo de Investigacion en Ciencias Quirurgicas,C
COL0070081,Vulnerabilidad y Salud Publica,B
COL0068216,Procesos de Manufactura y Diseño de máquinas,A
COL0037523,ADA,D
COL0048169,GIA - GRUPO DE INVESTIGACION EN INTELIGENCIA ARTIFICIAL,D
COL0060361,SALUD PÚBLICA E INFECCIÓN,B
COL0140462,Estudios políticos y jurídicos,D
COL0020348,Análisis Envolvente de Datos / Data Envelopment Analysis,B
COL0069563,Grupo de Investigación en Geometría y Algebra GIGA,C
COL0072961,Grupo de Investigación en Movilidad Humana,D
COL0119208,Gerencia en sistemas de salud,B
COL0056387,L'H,D
COL0041992,Desarrollo en Investigación Operativa (DINOP),A1
COL0037256,GRUPO DE INVESTIGACIÓN DE FARMACOEPIDEMIOLOGIA Y FARMACOVIGILANCIA,B
COL0027071,Grupo de investigación para la productividad y la competitividad en las organizaciones,D
COL0100037,Grupo de Investigación en Fotocatálisis y Estado Sólido (GIFES),C
COL0014995,Producción más Limpia,C
COL0080865,Estadística e Investigación Social (ISE),C
COL0072255,GRANDE. (GRUPO DE AVANZADA EN DESARROLLO DE SOFTWARE),D
COL0020339,Agua y Saneamiento,A
COL0056939,"Gestión de Sistemas Eléctricos, Electrónicos y Automáticos",
COL0061304,LOGISTICA: ESTRATEGIA DE LA CADENA DE SUMINISTRO,D
COL0073412,Campos Electromagnéticos y Fenómenos Energéticos,C
COL0026726,EPIDEMIOLOGÍA SALUD Y VIOLENCIA,A
COL0025291,Investigación en propiedades magnéticas y magneto-ópticas de nuevos materiales,C
COL0007829,Grupo de Biotecnología-Productos Naturales,C
COL0135954,Grupo de Ecuaciones Diferenciales y Aplicaciones (Gredya),C
COL0012749,Investigación en educación y pedagogía,A
COL0056199,INFECCIÓN E INMUNIDAD,A1
COL0034915,Estudios Regionales sobre Literatura y Cultura,C
COL0035995,Grupo Sirius,A
COL0008432,Grupo de Fenomenología y Teoría Crítica de la Sociedad,B
COL0027198,Educación y Desarrollo Humano,A
COL0025979,Electrónica de Potencia,B
